GeneID	length	eff_length	est_counts	tpm
cpalmiol.1.1	2887	2691.74	158	1.54874
cpalmiol.2.1	1580	1384.74	801	15.2623
cpalmiol.238.1	523	328.494	33	2.65058
cpalmiol.239.1	1679	1483.74	238	4.23228
cpalmiol.240.1	2088	1892.74	5663	78.9424
cpalmiol.241.1	963	767.736	222	7.62948
cpalmiol.242.1	2816	2620.74	638	6.42319
cpalmiol.243.1	6484	6288.74	0	0
cpalmiol.243.2	6079	5883.74	0	0
cpalmiol.243.3	5809	5613.74	4781	22.4709
cpalmiol.243.4	6214	6018.74	0	0
cpalmiol.244.1	5447	5251.74	5204	26.145
cpalmiol.245.1	2040	1844.74	8423	120.472
cpalmiol.246.1	406	215.032	49504	6074.23
cpalmiol.247.1	968	772.736	58255	1989.1
cpalmiol.248.1	3174	2978.74	14838	131.431
cpalmiol.249.1	11368	11172.7	17252	40.7412
cpalmiol.250.1	6403	6207.74	6863	29.1699
cpalmiol.251.1	8717	8521.74	9170.03	28.392
cpalmiol.251.2	377	187.743	5211.97	732.474
cpalmiol.252.1	16563	16367.7	27216	43.8722
cpalmiol.253.1	662	466.893	2591	146.421
cpalmiol.254.1	2582	2386.74	5564	61.5087
cpalmiol.255.1	882	686.736	1848	71.0012
cpalmiol.256.1	1214	1018.74	3794	98.2629
cpalmiol.257.1	6925	6729.74	2.94731e-06	1.15553e-08
cpalmiol.258.1	11863	11667.7	3886.15	8.78793
cpalmiol.259.1	1731	1535.74	8450	145.176
cpalmiol.260.1	1774	1578.74	12221	204.245
cpalmiol.261.1	14504	14308.7	12052	22.2235
cpalmiol.262.1	14811	14615.7	17677	31.9111
cpalmiol.263.1	4828	4632.74	4331	24.6663
cpalmiol.264.1	1699	1503.74	2377	41.7072
cpalmiol.265.1	12278	12082.7	2117.33	4.62356
cpalmiol.265.2	12278	12082.7	2117.33	4.62356
cpalmiol.265.3	12278	12082.7	2117.33	4.62356
cpalmiol.266.1	20667	20471.7	39170.1	50.484
cpalmiol.266.2	3584	3388.74	31035.1	241.64
cpalmiol.267.1	4675	4479.74	2698.87	15.8958
cpalmiol.267.2	4565	4369.74	4762.76	28.7579
cpalmiol.268.1	7575	7379.74	18366	65.664
cpalmiol.269.1	9927	9731.74	10912	29.5847
cpalmiol.270.1	2476	2280.74	2438	28.2041
cpalmiol.271.1	2758	2562.74	3535	36.3948
cpalmiol.272.1	476	282.401	7572	707.453
cpalmiol.273.1	5487	5291.74	9776	48.7435
cpalmiol.274.1	648	452.916	505	29.419
cpalmiol.275.1	7193	6997.74	8708.19	32.834
cpalmiol.276.1	1479	1283.74	348	7.15249
cpalmiol.277.1	6300	6104.74	11169.2	48.2737
cpalmiol.278.1	7430	7234.74	18023	65.7292
cpalmiol.279.1	1710	1514.74	50132	873.236
cpalmiol.280.1	1010	814.736	5641	182.681
cpalmiol.281.1	1372	1176.74	732	16.4129
cpalmiol.282.1	463	269.83	0	0
cpalmiol.282.2	463	269.83	0	0
cpalmiol.283.1	9207	9011.74	850.714	2.49074
cpalmiol.283.2	9207	9011.74	2.35154e-05	6.88489e-08
cpalmiol.284.1	539	344.342	22.3802	1.71485
cpalmiol.283.3	715	519.796	13.902	0.705665
cpalmiol.283.4	698	502.796	0	0
cpalmiol.285.1	4904	4708.74	3022.88	16.9383
cpalmiol.286.1	364	175.861	28555	4284.17
cpalmiol.287.1	2791	2595.74	421430	4283.7
cpalmiol.288.1	2417	2221.74	6318	75.031
cpalmiol.289.1	5056	4860.74	4949	26.8639
cpalmiol.290.1	737	541.796	393	19.1386
cpalmiol.291.1	7378	7182.74	11823	43.4302
cpalmiol.292.1	1391	1195.74	8076	178.203
cpalmiol.293.1	2615	2419.74	22296	243.116
cpalmiol.294.1	1579	1383.74	6165	117.553
cpalmiol.295.1	5189	4993.74	13294	70.2399
cpalmiol.296.1	9457	9261.74	3404	9.6973
cpalmiol.297.1	6575	6379.74	6423	26.5637
cpalmiol.298.1	1260	1064.74	633	15.6861
cpalmiol.299.1	4356	4160.74	534	3.3863
cpalmiol.300.1	6564	6368.74	2752.55	11.4034
cpalmiol.300.2	5859	5663.74	0	0
cpalmiol.300.3	5547	5351.74	0	0
cpalmiol.301.1	3722	3526.74	4188	31.3319
cpalmiol.302.1	9723	9527.74	11331	31.3785
cpalmiol.303.1	559	364.254	19	1.37627
cpalmiol.304.1	1505	1309.74	1057	21.2934
cpalmiol.305.1	9496	9300.74	8338	23.6537
