# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "transcript" "-g" "gene_id" "-a" "11.AssemblyRNA/cpalmiol.gtf" "-o" "counts.txt" "10.Mapping.RNA/cpalmiol_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	10.Mapping.RNA/cpalmiol_sorted.bam
cpalmiol.1	tig00000074	628	3514	.	2887	326
cpalmiol.2	tig00000074	3728	5307	.	1580	1646
cpalmiol.3	tig00000083	543	1644	.	1102	167
cpalmiol.4	tig00000083	2524	3124	.	601	7722
cpalmiol.5	tig00000083	3598	5568	.	1971	93866
cpalmiol.6	tig00000083	5784	9104	.	3321	385
cpalmiol.7	tig00000083	9458	12892	.	3435	347
cpalmiol.8	tig00000083	17060	25800	.	8741	487
cpalmiol.9	tig00000083	25851	27005	.	1155	2279
cpalmiol.10	tig00000083	43843	44315	.	473	20544
cpalmiol.11	tig00000083	44647	48380	.	3734	9802
cpalmiol.12	tig00000083	63675	65022	.	1348	6336
cpalmiol.13	tig00000083	65645	67345	.	1701	27101
cpalmiol.14	tig00000083	67525	74824	.	7300	7015
cpalmiol.15	tig00000083	75346	86504	.	11159	14982
cpalmiol.16	tig00000083	75346	86504	+	11159	14982
cpalmiol.17	tig00000083	96471	97496	.	1026	4990
cpalmiol.18	tig00000083	97923	111369	.	13447	34579
cpalmiol.19	tig00000083	111622	112038	.	417	8228
cpalmiol.20	tig00000083	112364	112661	.	298	10569
cpalmiol.21	tig00000083	119409	120946	.	1538	54852
cpalmiol.22	tig00000083	121299	125354	.	4056	9563
cpalmiol.23	tig00000083	121299	125354	+	4056	9563
cpalmiol.24	tig00000083	125762	137443	.	11682	9535
cpalmiol.25	tig00000083	143345	144758	.	1414	11129
cpalmiol.26	tig00000083	146300	148051	.	1752	11033
cpalmiol.27	tig00000083	148813	149284	.	472	177
cpalmiol.28	tig00000083	149503	151316	.	1814	307
cpalmiol.29	tig00000083	154321	161460	+	7140	753
cpalmiol.30	tig00000083	154349	161460	.	7112	753
cpalmiol.31	tig00000083	162592	163747	.	1156	2317
cpalmiol.32	tig00000083	165146	165550	.	405	129
cpalmiol.33	tig00000083	167218	168186	.	969	16038
cpalmiol.34	tig00000083	171066	176415	.	5350	10616
cpalmiol.35	tig00000083	179722	188319	.	8598	620578
cpalmiol.36	tig00000083	201563	209190	.	7628	15310
cpalmiol.37	tig00000083	209505	211158	.	1654	47770
cpalmiol.38	tig00000083	212390	213576	.	1187	10880
cpalmiol.39	tig00000083	214450	216537	.	2088	3965
cpalmiol.40	tig00000083	216885	218747	.	1863	8057
cpalmiol.41	tig00000083	219431	220970	.	1540	3148
cpalmiol.42	tig00000083	221366	222730	.	1365	18218
cpalmiol.43	tig00000083	223805	235399	-	11595	89911
cpalmiol.44	tig00000083	238280	238743	.	464	10119
cpalmiol.45	tig00000083	248213	250587	.	2375	20972
cpalmiol.46	tig00000083	255165	257190	.	2026	41004
cpalmiol.47	tig00000083	257792	258450	.	659	14961
cpalmiol.48	tig00000083	260289	268783	.	8495	52187
cpalmiol.49	tig00000083	275172	280071	.	4900	398918
cpalmiol.50	tig00000083	277708	280071	-	2364	342930
cpalmiol.51	tig00000083	280909	281318	.	410	11466
cpalmiol.52	tig00000083	281828	282947	.	1120	13230
cpalmiol.53	tig00000083	283873	286514	.	2642	19301
cpalmiol.54	tig00000083	291166	291919	.	754	4308
cpalmiol.55	tig00000083	292199	296224	.	4026	2820
cpalmiol.56	tig00000083;tig00000083	298359;298360	299973;303174	.;.	4816	27144
cpalmiol.57	tig00000083	303773	305773	.	2001	6041
cpalmiol.58	tig00000083	306405	308194	.	1790	35002
cpalmiol.59	tig00000083	308768	309554	.	787	28808
cpalmiol.60	tig00000083	311390	311920	+	531	11386
cpalmiol.61	tig00000083	313827	314442	.	616	2275
cpalmiol.62	tig00000083	315789	317061	.	1273	6341
cpalmiol.63	tig00000083	315789	316615	+	827	3139
cpalmiol.64	tig00000083	317212	317837	-	626	19874
cpalmiol.65	tig00000083	318125	318603	.	479	21402
cpalmiol.66	tig00000083	319347	320218	+	872	61475
cpalmiol.67	tig00000083	327192	327544	.	353	5142
cpalmiol.68	tig00000083	345592	354205	+	8614	7252
cpalmiol.69	tig00000083	354416	355050	.	635	39286
cpalmiol.70	tig00000083	355347	355803	.	457	5622
cpalmiol.71	tig00000083	356839	360211	.	3373	2349
cpalmiol.72	tig00000083	360630	361198	.	569	59826
cpalmiol.73	tig00000083	361453	362861	.	1409	5733
cpalmiol.74	tig00000083	363690	364809	.	1120	8253
cpalmiol.75	tig00000083	368897	370151	.	1255	6335
cpalmiol.76	tig00000083	370353	372045	.	1693	32282
cpalmiol.77	tig00000083	374326	376501	.	2176	4586
cpalmiol.78	tig00000083	392429	393864	.	1436	61384
cpalmiol.79	tig00000083	395831	400606	.	4776	32752
cpalmiol.80	tig00000083	402636	403495	.	860	5680
cpalmiol.81	tig00000083	405669	406411	.	743	6386
cpalmiol.82	tig00000083	406612	407254	.	643	9770
cpalmiol.83	tig00000083	407576	408517	.	942	14510
cpalmiol.84	tig00000083	409702	410923	-	1222	21374
cpalmiol.85	tig00000083	413706	415191	.	1486	18828
cpalmiol.86	tig00000083	420001	424081	.	4081	4207
cpalmiol.87	tig00000083	424448	433669	.	9222	37097
