GeneID	gene	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
cpalmiol.15.1	LipaseVII	100	1464	0	0	951	2414	1	1464	0	2704
cpalmiol.15.1	LipaseII	76.453	1308	282	22	966	2260	1455	161	0	686
cpalmiol.15.1	LipaseIII	75.51	1176	262	23	966	2128	1455	293	6.79E-159	553
cpalmiol.15.1	LipaseV	74.885	434	105	4	1146	1577	441	10	4.74E-51	195
cpalmiol.15.1	LIPVIIRR	100	83	0	0	1193	1275	1	83	8.05E-39	154
cpalmiol.15.1	LIPVIIR	100	83	0	0	1193	1275	83	1	8.05E-39	154
cpalmiol.15.1	LIPVIIF	100	78	0	0	1249	1326	1	78	4.84E-36	145
cpalmiol.15.1	LipaseVIII	71.663	487	129	8	1127	1609	1278	797	1.75E-30	126
cpalmiol.15.1	LIPVIIFR	100	50	0	0	1277	1326	50	1	1.78E-20	93.5
cpalmiol.15.1	LIPIIIRR	86.154	65	9	0	2064	2128	88	24	8.34E-14	71.3
cpalmiol.15.1	LIPIIIR	88.136	59	7	0	2064	2122	3	61	8.34E-14	71.3
cpalmiol.16.1	LipaseVII	100	1464	0	0	951	2414	1	1464	0	2704
cpalmiol.16.1	LipaseII	76.453	1308	282	22	966	2260	1455	161	0	686
cpalmiol.16.1	LipaseIII	75.51	1176	262	23	966	2128	1455	293	6.74E-159	553
cpalmiol.16.1	LipaseV	74.885	434	105	4	1146	1577	441	10	4.71E-51	195
cpalmiol.16.1	LIPVIIRR	100	83	0	0	1193	1275	1	83	7.99E-39	154
cpalmiol.16.1	LIPVIIR	100	83	0	0	1193	1275	83	1	7.99E-39	154
cpalmiol.16.1	LIPVIIF	100	78	0	0	1249	1326	1	78	4.81E-36	145
cpalmiol.16.1	LipaseVIII	71.663	487	129	8	1127	1609	1278	797	1.74E-30	126
cpalmiol.16.1	LIPVIIFR	100	50	0	0	1277	1326	50	1	1.77E-20	93.5
cpalmiol.16.1	LIPIIIRR	86.154	65	9	0	2064	2128	88	24	8.28E-14	71.3
cpalmiol.16.1	LIPIIIR	88.136	59	7	0	2064	2122	3	61	8.28E-14	71.3
cpalmiol.191.1	ACT1	100	1080	0	0	91	1170	1	1080	0	1995
cpalmiol.191.1	ACTFR	100	71	0	0	922	992	71	1	4.11E-33	132
cpalmiol.191.1	ACTF	100	71	0	0	922	992	1	71	4.11E-33	132
cpalmiol.191.1	ACTRR	100	64	0	0	871	934	1	64	3.20E-29	119
cpalmiol.191.1	ACTR	100	64	0	0	871	934	64	1	3.20E-29	119
cpalmiol.506.1	LipaseIII	100	838	0	0	1330	2167	1	838	0	1548
cpalmiol.506.1	LipaseII	74.468	846	192	23	1332	2166	5	837	8.64E-97	344
cpalmiol.506.1	LipaseVII	73.953	549	123	18	1628	2166	1172	634	1.53E-54	204
cpalmiol.506.1	LIPIIIRR	100	90	0	0	1599	1688	1	90	2.01E-43	167
cpalmiol.506.1	LIPIIIR	100	90	0	0	1599	1688	90	1	2.01E-43	167
cpalmiol.506.1	LIPIIIFR	100	52	0	0	1676	1727	52	1	2.67E-22	97.1
cpalmiol.506.1	LIPIIIF	100	52	0	0	1676	1727	1	52	2.67E-22	97.1
cpalmiol.519.1	LipaseIV	100	789	0	0	17983	18771	1	789	0	1458
cpalmiol.519.1	LipaseV	100	500	0	0	18808	19307	1	500	0	924
cpalmiol.519.1	LipaseVIII	74.49	1176	282	16	18144	19307	150	1319	7.21E-141	494
cpalmiol.519.1	LipaseII	75.61	492	114	6	18775	19263	802	1290	3.73E-64	239
cpalmiol.519.1	LipaseVII	74.885	434	105	4	18817	19248	627	196	8.18E-51	195
cpalmiol.519.1	LIPVRR	98.684	76	0	1	18828	18902	1	76	1.81E-32	134
cpalmiol.519.1	LIPVR	98.684	76	0	1	18828	18902	76	1	1.81E-32	134
cpalmiol.519.1	LipaseIII	70.732	451	124	8	18817	19263	844	1290	8.54E-21	95.3
cpalmiol.519.1	LIPVFR	100	49	0	0	18922	18970	49	1	1.10E-19	91.6
cpalmiol.519.1	LIPVF	100	49	0	0	18922	18970	1	49	1.10E-19	91.6
cpalmiol.519.1	LIPVIIF	84.615	78	12	0	19068	19145	78	1	8.60E-16	78.7
cpalmiol.519.1	LIPVIIRR	82.432	74	13	0	19119	19192	83	10	6.69E-12	65.8
cpalmiol.519.1	LIPVIIR	82.432	74	13	0	19119	19192	1	74	6.69E-12	65.8
cpalmiol.535.1	PMA1	100	2700	0	0	334	3033	1	2700	0	4987
